Zone,Ward,Area,Locality,Street,Usage,Guidance Value
N04,N034,Kodungaiyur,Chinnandimadam,Kadumapdi Amman Koil 2nd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumapdi Amman Koil 2nd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Kadumapdi Amman Koil 3rd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumapdi Amman Koil 3rd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadi Amman Koil 1st Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadi Amman Koil 1st Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadi Amman Koil Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadi Amman Koil Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadiamman Koil 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadiamman Koil 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadiamman Koil 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Kadumpadiamman Koil 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 1st Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 1st Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 2nd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 2nd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 3rd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 3rd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 4th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 4th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 5th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil 5th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Chinnandimadam,Solai Amman Koil Main Road,Residential,0.5
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 1st Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 1st Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 2nd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 2nd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 3rd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar 3rd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Devi Karumari Amman Nagar,Devikarumariamman Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Ganesh Nagar,Ganesh Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Goyyathoppu Gandhi Nagar,Goyyathoppu Gandhi Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Harbour Colony,Harbour Colony 1st Cross St,Non-Residential,3
N04,N034,Kodungaiyur,Harbour Colony,Harbour Colony 1st Cross St,Residential,0.5
N04,N034,Kodungaiyur,Harbour Colony,Harbour Colony 2nd Cross St,Non-Residential,3
N04,N034,Kodungaiyur,Harbour Colony,Harbour Colony 2nd Cross St,Residential,0.5
N04,N034,Kodungaiyur,Iswarya Nagar,Annai Therasa Street,Non-Residential,3
N04,N034,Kodungaiyur,Iswarya Nagar,Annai Therasa Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 3rd Streeet,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 3rd Streeet,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 7th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli New Colony,Jambuli New Colony 7th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Arul Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Arul Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Association Road 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Association Road 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Association Road 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Association Road 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Bharathi Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Bharathi Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Dharmalingam Nagar Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Dharmalingam Nagar Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Street In R.V. Nagar,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Govindaswamy Street In R.V. Nagar,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 2nd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 2nd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 3rd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Harbour Colony 3rd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 10th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 10th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 11th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 11th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 12th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 12th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 1st Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 1st Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 1st Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 1st Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 2nd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 2nd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 2nd Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 2nd Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 3rd Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 3rd Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 3rd Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 3rd Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 4th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 4th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 4th Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 4th Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 5th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 5th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 5th Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 5th Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 6th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 6th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 7th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 7th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 8th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 8th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 9th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Town 9th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Twon East Cross Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Twon East Cross Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Twon West Avenue Road,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,K.K.R. Twon West Avenue Road,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Sagaya Nagar,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Sagaya Nagar,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar  Extn,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar  Extn,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar 7th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Sastri Nagar 7th Street,Residential,0.5
N04,N034,Kodungaiyur,Jambuli Village,Velankanni Street,Non-Residential,3
N04,N034,Kodungaiyur,Jambuli Village,Velankanni Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,D' Mote Avenue,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,D' Mote Avenue,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Gopal Reddy Estate,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Gopal Reddy Estate,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Jambuli Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Jambuli Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Kkr Town 13th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Kkr Town 13th Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,M.R.L Colony 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Ravi Garden Main Road,Residential,0.5
N04,N034,Kodungaiyur,Jumbuli Village,Rizwan Street (Milk Colony Road),Non-Residential,3
N04,N034,Kodungaiyur,Jumbuli Village,Rizwan Street (Milk Colony Road),Residential,0.5
N04,N034,Kodungaiyur,K.M.A.Garden,K.M.A. Garden,Non-Residential,3
N04,N034,Kodungaiyur,K.M.A.Garden,K.M.A. Garden,Residential,0.5
N04,N034,Kodungaiyur,Kadumpadiamman Koil,Kadumpadiamman Koil Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Kadumpadiamman Koil,Kadumpadiamman Koil Main Road,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,BALAJI NAGAR EXTENSION,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,BALAJI NAGAR EXTENSION,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,GURU VINAYAGAR KOIL STREET,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,GURU VINAYAGAR KOIL STREET,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Gramanyiar Garden,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Gramanyiar Garden,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kadumpadiamman Koil 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kadumpadiamman Koil 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 10st Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 10st Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 11th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 11th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 12th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 12th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 5th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 5th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 6th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 6th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 7th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 7th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 7th Street Lane,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 7th Street Lane,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 8th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 8th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 9th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman 9th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman Main Road,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Kattabomman Main Road,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 3rd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 3rd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 4th Cross Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 4th Cross Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 4th Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,Narasimma Reddiyar Nagar 4th Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,S.A Colony 1st Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,S.A Colony 1st Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,S.A Colony 2nd Street,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,S.A Colony 2nd Street,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,SRI VINAYAGA NAGAR,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,SRI VINAYAGA NAGAR,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,VENKATESWARA NAGAR EAST PHASE,Non-Residential,3
N04,N034,Kodungaiyur,Kodungaiyur,VENKATESWARA NAGAR EAST PHASE,Residential,0.5
N04,N034,Kodungaiyur,Kodungaiyur,Vijayanagar Prathana Street,Non-Residential,3
